en,fr,it,de,es,ko,kana
[~0],[~0],[~0],[~0],[~0],[~0],[~0]
"Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains.",Absol a le pouvoir de prédire les catastrophes naturelles. Il vit dans un milieu montagneux aride et accidenté. Ce Pokémon s’éloigne très rarement des montagnes.,Absol ha l’abilità di predire le catastrofi naturali. Vive negli ambienti montani più aspri e inospitali. Soltanto raramente si allontana dalle montagne per avventurarsi a valle.,"Absol kann bevorstehende naturkatastrophen voraussagen. Es lebt auf einem kargen, zerklüfteten Berg. Dieses Pokémon wagt sich nur sehr selten ins Tal herunter.","Absol tiene la habilidad de predecir las catástrofes naturales. Este Pokémon vive en hábitats montañosos, hostiles y accidentados de los que rara vez se aleja.",자연재해를 감지하는 힘을 지녔다. 험한 산악 지대에 서식하며 좀처럼 산기슭에는 내려오지 않는다.,しぜんさいがいを　キャッチする　ちからを　もつ。 けわしい　さんがくちたいに　せいそくし めったに　やまの　ふもとには　おりてこない。
"Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to become king.",Il peut déceler les qualités régaliennes dans les âmes humaines. On raconte que celui ou celle qui obtient sa faveur deviendra à coup sûr roi ou reine.,Si dice che sia in grado di riconoscere chi possiede le qualità per diventare re e che le persone da lui indicate siano effettivamente destinate al trono.,"Angeblich erkennt es jene Menschen, die Potenzial zum Herrscher haben. Es heißt, von ihm anerkannte Personen seien bald darauf Könige geworden.","Al parecer, puede intuir si un humano tiene madera de rey. Según se dice, las personas que obtuvieron su reconocimiento acabaron siendo reyes.",왕의 기질을 가진 인간을 간파하는 듯하다. 인정받은 자는 이윽고 왕이 된다고 한다.,おうの　そしつを　もつ　にんげんを みぬくらしい。みとめられた　ひとは やがて　おうになると　いわれている。
"Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to become king.",Il peut déceler les qualités régaliennes dans les âmes humaines. On raconte que celui ou celle qui obtient sa faveur deviendra à coup sûr roi ou reine.,Si dice che sia in grado di riconoscere chi possiede le qualità per diventare re e che le persone da lui indicate siano effettivamente destinate al trono.,"Angeblich erkennt es jene Menschen, die Potenzial zum Herrscher haben. Es heißt, von ihm anerkannte Personen seien bald darauf Könige geworden.","Al parecer, puede intuir si un humano tiene madera de rey. Según se dice, las personas que obtuvieron su reconocimiento acabaron siendo reyes.",왕의 기질을 가진 인간을 간파하는 듯하다. 인정받은 자는 이윽고 왕이 된다고 한다.,おうの　そしつを　もつ　にんげんを みぬくらしい。みとめられた　ひとは やがて　おうになると　いわれている。
"Aggron is protective of its environment. If its mountain is ravaged by a landslide or a fire, this Pokémon will haul topsoil to the area, plant trees, and beautifully restore its own territory.","Galeking est attentif à son environnement. Si sa montagne est ravagée par un glissement de terrain ou un incendie, ce Pokémon laboure la terre, plante des arbres et restaure le paysage.","Aggron difende strenuamente il proprio territorio. In caso di frana o incendio, questo Pokémon è in grado di risistemare il terreno, ripiantare gli alberi e ristabilire al meglio il proprio ambiente naturale.","Stolloss geht sehr behutsam mit der Umwelt um. Wenn der Berg von Stolloss von einem Erdrutsch oder einem Feuer verwüstet wurde, schleppt es Erde in das Gebiet, pflanzt Bäume und richtet sein Territorium wieder her.","Aggron es increíblemente cuidadoso con su hábitat. Si su montaña sufre algún corrimiento de tierras o algún incendio, cargará con tierra nueva, plantará árboles y restaurará con cuidado el terreno.",산사태나 산불로 산이 황폐해지면 열심히 흙을 나르고 나무 모종을 심어 자신의 영역을 깨끗히 청소한다.,どしゃくずれや　やまかじで　やまが　あれると せっせと　つちを　はこび　きの　なえを　うえて じぶんの　なわばりを　きれいに　そうじする。
"Alpingouin has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pokémon enjoys eating it in leisurely fashion.",Ce pokémon adore se balader au calme sur les lacs gelés. Il a développé sa propre parade nuptiale en dansant et sautillant avec grâce.,"Alpingouin ha la capacità di sfruttare il ghiaccio a suo vantaggio. Ad esempio riesce a congelare la preda all’istante. Dopo averla immobilizzata nel ghiaccio, se la mangia con gusto e in tutta calma.","Firnontor hat die Fähigkeit, Eis zu kontrollieren. Es kann beispielsweise seine Beute augenblicklich einfrieren. Nachdem es sie im Eis bewegungsunfähig gemacht hat, verspeist es sie genüsslich.","Alpingouin tiene la habilidad de controlar el hielo con total libertad. Por ejemplo, puede dejar a su presa totalmente congelada en un instante. Y, una vez helada, la devora lentamente.",얼음을 자유롭게 사용하는 힘을 지녔다. 먹이를 한순간에 얼려 움직이지 못하게 하고 맛있게 먹는다.,こおりを　じざいに　あつかう　ちからを　もつ。 えものを　いっしゅんで　こおらせて　うごけなく なった　ところを　おいしく　いただくのだ。
Altaria sings in a gorgeous soprano. Its wings are like cotton clouds. This Pokémon catches updrafts with its buoyant wings and soars way up into the wild blue yonder.,Altaria chante avec une magnifique voix de soprano. Ses ailes ressemblent à des nuages cotonneux. Ce Pokémon se laisse porter par les courants d’air ascendants et disparaît dans le bleu du ciel.,"Altaria canta con una sublime voce di soprano. Le sue ali spumeggianti, che sembrano nubi di cotone, gli consentono di sfruttare le correnti ascensionali e di risalire verso l’infinito cielo blu.",Altaria hat eine tolle Sopran-Stimme. Seine Flügel sehen aus wie Schäfchenwolken. Dieses Pokémon stürzt sich in einen Aufwind und steigt in den Himmel empor.,"Altaria canta de maravilla, como una soprano. Tiene unas alas que parecen nubes de algodón. Este Pokémon aprovecha las corrientes ascendentes y remonta el vuelo con sus flamantes alas hacia la inmensidad del cielo azul.",아름다운 소프라노 음색으로 노래하는 포켓몬이다. 솜구름 같은 날개로 상승기류를 타고 넓은 하늘로 날아오른다.,うつくしい　ソプラノで　うたう　ポケモン。 わたぐもの　ような　つばさで　じょうしょう きりゅうを　うけて　おおぞらへ　まいあがる。
"Amplam flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Mixeur hors-pair, il alterne entre les souffles de feu et les décharges éléctriques pour enflammer la piste.
","Amplam solca i cieli in cerca di nemici molto forti. Riesce a emettere fiammate di un calore tale da fondere ogni cosa. Tuttavia, non rivolge mai le sue micidiali lingue di fuoco contro avversari più deboli di lui.","Glurak fliegt durch die Lüfte, um starke Gegner aufzuspüren. Sein heißer Feueratem bringt alles zum Schmelzen. Aber es richtet seinen Feueratem nie gegen schwächere Gegner.","Amplam se dedica a volar por los cielos en busca de oponentes fuertes. Echa fuego por la boca y es capaz de derretir cualquier cosa. No obstante, si su rival es más débil que él, no usará este ataque.",강한 상대를 찾아 하늘을 날아다닌다. 무엇이든 다 녹여버리는 고열의 불꽃을 자신보다 약한 자에게 들이대지 않는다.,つよい　あいてを　もとめて　そらを　とびまわる。 なんでも　とかして　しまう　こうねつの　ほのおを じぶんより　よわいものに　むけることは　しない。
"Amplam flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.","Mixeur hors-pair, il alterne entre les souffles de feu et les décharges éléctriques pour enflammer la piste.
","Amplam solca i cieli in cerca di nemici molto forti. Riesce a emettere fiammate di un calore tale da fondere ogni cosa. Tuttavia, non rivolge mai le sue micidiali lingue di fuoco contro avversari più deboli di lui.","Glurak fliegt durch die Lüfte, um starke Gegner aufzuspüren. Sein heißer Feueratem bringt alles zum Schmelzen. Aber es richtet seinen Feueratem nie gegen schwächere Gegner.","Amplam se dedica a volar por los cielos en busca de oponentes fuertes. Echa fuego por la boca y es capaz de derretir cualquier cosa. No obstante, si su rival es más débil que él, no usará este ataque.",강한 상대를 찾아 하늘을 날아다닌다. 무엇이든 다 녹여버리는 고열의 불꽃을 자신보다 약한 자에게 들이대지 않는다.,つよい　あいてを　もとめて　そらを　とびまわる。 なんでも　とかして　しまう　こうねつの　ほのおを じぶんより　よわいものに　むけることは　しない。
It is told in mythology that this Pokémon was born before the universe even existed.,"Dans la mythologie, ce Pokémon existait déjà avant la formation de l’univers.",Nei racconti mitologici si dice che questo Pokémon sia nato ancor prima dell’universo.,"Die Mythologie erzählt, dass dieses Pokémon geboren wurde, bevor das Universum überhaupt existierte.",La mitología cuenta que este Pokémon nació antes de que el Universo existiera.,우주가 아직 생기지 않았을 무렵에 처음으로 태어난 포켓몬이라고 신화 속에서 묘사된다.,うちゅうが　まだ　ない　ころに さいしょに　うまれた　ポケモンと しんわの　なかで　かたられている。
