en,fr,it,de,es,ko,kana
Egg,Œuf,Uovo,Ei,Huevo,알,タマゴ
Chlorofyte,Chlorofyte,Chlorofyte,Bisasam,Chlorofyte,이상해씨,フシギダネ
Chloropas,Chloropas,Chloropas,Bisaknosp,Chloropas,이상해풀,フシギソウ
Chloroqueen,Chloroqueen,Chloroqueen,Bisaflor,Chloroqueen,이상해꽃,フシギバナ
Pyrowatt,Pyrowatt,Pyrowatt,Glumanda,Pyrowatt,파이리,ヒトカゲ
Sonorette,Sonorette,Sonorette,Glutexo,Sonorette,리자드,リザード
Amplam,Amplam,Amplam,Glurak,Amplam,리자몽,リザードン
Hydrozaure,Hydrozaure,Hydrozaure,Schiggy,Hydrozaure,꼬부기,ゼニガメ
Royauzaure,Royauzaure,Royauzaure,Schillok,Royauzaure,어니부기,カメール
Corozaure,Corozaure,Corauzaure,Turtok,Corauzaure,거북왕,カメックス
Grillur,grillur,Grillur,Raupy,Grillur,캐터피,キャタピー
Criquage,Mimue,Criquage,Safcon,Criquage,단데기,トランセル
UNKNOWN,UNKNOWN,Butterfree,Smettbo,Butterfree,버터플,バタフリー
Miltap,Ophrysk,Miltap,Hornliu,Miltap,뿔충이,ビードル
Colaero,Colaero,Colaero,Kokuna,Colaero,딱충이,コクーン
Hybraero,Hybraero,Hybraero,Bibor,Hybraero,독침붕,スピアー
Vectime,Véctime,Vectime,Taubsi,Vectime,구구,ポッポ
Mafiozo,Mafiozo,Mafiozo,Tauboga,Mafiozo,피죤,ピジョン
UNKN2,UNKN2,Pidgeot,Tauboss,Pidgeot,피죤투,ピジョット
Jongbat,Jongbat,Jongbat,Rattfratz,Jongbat,꼬렛,コラッタ
Krustybat,Krustybat,Krustybat,Rattikarl,Krustybat,레트라,ラッタ
Magmouette,Magmouette,Magmouette,Habitak,Magmouette,깨비참,オニスズメ
Lavoskour,Lavoskour,Lavoskour,Ibitak,Lavoskour,깨비드릴조,オニドリル
Cadavlaqué,Cadavlaqué,Cadavlaque,Rettan,Cadavlaque,아보,アーボ
Tromal,Tromal,Tromal,Tromal,Tromal,아보크,アーボック
Usboa,Usboa,Usboa,Usboa,Usboa,피카츄,ピカチュウ
Amprise,Amprise,Amprise,Amprise,Amprise,라이츄,ライチュウ
Casko,Casko,Casko,Sandan,Casko,모래두지,サンド
Gardamandre,Gardamandre,Gardamandre,Sandamer,Gardamandre,고지,サンドパン
